CNPJ_CIA;SETOR_ATIV;ANO;Distribuição_do_Valor_Adicionado;Impostos_Taxas_e_Contribuições;Outros;Pessoal;Receitas;Remuneração_de_Capitais_de_Terceiros;Remuneração_de_Capitais_Próprios;Valor_Adicionado_Bruto;Valor_Adicionado_Líquido_Produzido;Valor_Adicionado_Total_a_Distribuir
00.001.180/0001-26;Energia Elétrica;2022;27062792;5698127;2392454;6283251;43148577;9050578;3638382;23636269;20658352;27062792
00.070.698/0001-11;Energia Elétrica;2010;1894039.32994241;1322235.05794641;0;276270.431009954;3829847.16730668;256568.042522344;38965.7984637007;1876690.74026091;1785665.26845597;1894039.32994241
00.070.698/0001-11;Energia Elétrica;2011;2073334.58332694;1435796.49673867;0;294311.724594752;3988868.92476061;257040.04878292;86186.3132105977;2104411.12745997;1983740.57404211;2073334.58332694
00.070.698/0001-11;Energia Elétrica;2012;2187611.21158794;1509685.33408678;0;323316.374215086;4237278.46377279;222601.392463473;132008.110822604;1991318.10811298;1905610.67682246;2187611.21158794
00.070.698/0001-11;Energia Elétrica;2013;1477734.17039703;1066963.95399936;0;355475.254283267;3621148.95095753;180922.481910216;-125627.519795813;1383943.49847944;1300197.94708621;1477734.17039703
00.070.698/0001-11;Energia Elétrica;2014;1410035.99650068;1082987.0317506;0;285496.011092639;4392529.53281937;193099.297592715;-151546.343935278;1404282.14752206;1321081.83743477;1410035.99650068
00.070.698/0001-11;Energia Elétrica;2015;2944772.7873442;2143928.45567052;0;265534.034684699;5718864.09420811;408915.902287561;126394.39470142;2833255.46082468;2755483.19163725;2944772.7873442
00.070.698/0001-11;Energia Elétrica;2016;2570637.79653461;1710284.36705301;0;310905.382549936;4911524.63565125;369565.201465163;179882.845466507;2380859.90775444;2308715.16579195;2570637.79653461
00.070.698/0001-11;Energia Elétrica;2017;2575608.17092573;1896720.46223141;0;289471.802882118;5490852.39639657;157683.918857551;231731.986954652;2438037.28366647;2352306.84299375;2575608.17092573
00.070.698/0001-11;Energia Elétrica;2018;2349721.73108295;1683160.69169777;0;233208.601310082;5111978.79254994;287447.32383856;145905.114236532;2263193.73139385;2191633.26870232;2349721.73108295
00.070.698/0001-11;Energia Elétrica;2019;2505533.38327717;1859528.29136579;0;232345.766139746;5191359.27073042;224173.693149191;189485.632622444;2403756.89822175;2333114.13609925;2505533.38327717
00.070.698/0001-11;Energia Elétrica;2020;674480.90067066;71242.03572174;0;24926.54613102;335740.96550952;39242.60094924;539069.71786866;196596.41878818;186948.51680736;674480.90067066
00.070.698/0001-11;Energia Elétrica;2021;2178417.5784;722227.3074;0;27384.9588;2225971.9746;61134876;1367670.4362;2045574.4302;2035079.2224;2178417.5784
00.070.698/0001-11;Energia Elétrica;2022;476880;126275;0;32252;450173;60300;258053;324506;314726;476880
00.080.671/0001-00;Alimentos;2020;2673022.54026438;110835.61689672;0;238324.8400821;7473643.1916426;2066890.11556662;256971.96771894;1190073.16898388;1117699.42474548;2673022.54026438
00.080.671/0001-00;Alimentos;2021;1936161387;102106.6542;0;272782422;8362798812;1187376.4386;373895.8722;558967815;490493.7954;1936161387
00.080.671/0001-00;Alimentos;2022;1805457;-330235;0;284734;9122683;1502214;348744;387976;319572;1805457
00.095.147/0001-02;Energia Elétrica;2010;4536300.64898088;2884331.15271204;0;254037.460514761;9368891.92995636;674215.376506958;723716.659247126;4526160.44399759;4149675.78736238;4536300.64898088
00.108.786/0001-65;Telecomunicações;2010;5934947.76285328;3181859.26711693;0;1303988.64796081;13256398.2295363;838997.1835596;610102.664215942;7471920.77972887;5681792.23201777;5934947.76285328
00.108.786/0001-65;Telecomunicações;2011;6662578.27762073;3489874.98169003;0;1532415.14266772;15120700.3878686;943106.044103637;697182.109159333;8490573.6896389;6506681.78698823;6662578.27762073
00.108.786/0001-65;Telecomunicações;2012;7207297.44745598;3915887.08631296;0;1494179.29961744;16922639.4047666;1101294.35579732;695936.705728262;9202334.74121915;6907752.75034346;7207297.44745598
00.108.786/0001-65;Telecomunicações;2013;8154072.26511787;4850860.57146246;0;1653624.06363855;19640948.3801114;1354471.68313732;295115.946879542;11052584.2711185;8001443.26078444;8154072.26511787
00.194.724/0001-13;Energia Elétrica;2021;999199.1484;-259868.6568;0;141769305;4196720106;571551921;545746.5792;1431603189;911203.3872;999199.1484
00.194.724/0001-13;Energia Elétrica;2022;1589794;512261;0;148025;3799870;631846;297662;1714587;1214057;1589794
00.242.184/0001-04;Serviços Transporte e Logística;2021;347395.2876;71215.8966;0;143461.9782;455369.2416;71366.9904;61350.4224;372044709;314339.5566;347395.2876
00.242.184/0001-04;Serviços Transporte e Logística;2022;730212;-4764;0;307088;946302;279296;148592;735288;598122;730212
00.249.786/0001-85;Telecomunicações;2010;3779.98238652304;1048.78124019136;0;0;0;0;2731.20114633167;-1575.15818839347;-1577.14451649989;3779.98238652304
00.249.786/0001-85;Telecomunicações;2011;3211.5293594255;366.177867625014;0;0;0;0;2845.35149180049;-9118.94985651884;-9118.94985651884;3211.5293594255
00.249.786/0001-85;Telecomunicações;2012;7118.42234473716;1691.66381522559;0;0;0;0;5426.75852951157;-1080.04868453797;-1080.04868453797;7118.42234473716
00.336.701/0001-04;Telecomunicações;2014;89622.8453705009;24179.696774233;0;57288.3224392632;248422.468986232;192803.502239152;-184648.676082147;69969.7615335056;4178.89605884713;89622.8453705009
00.336.701/0001-04;Telecomunicações;2015;-28077.8067692667;38804.0315684292;0;81296.273820596;98330.8667191595;188277.229708196;-336455.341866488;1662.05080753796;-90500.3799248827;-28077.8067692667
00.336.701/0001-04;Telecomunicações;2016;-10750.8017509099;56042.7589145365;0;103861.625425874;126037.340526843;193826.594971473;-364481.781062793;34426.7851813241;-31922.7498798919;-10750.8017509099
00.354.053/0001-00;Comércio (Atacado e Varejo);2010;-32.8300309429599;172.552322604969;0;12.6648280065533;80.8495129157368;1026.56614664913;-1244.61332820361;21.7284431561616;18.8721033391252;-32.8300309429599
00.354.053/0001-00;Comércio (Atacado e Varejo);2011;-28980.3626663225;80452.6403751835;0;14194.9971337493;99081.0052633928;1051844.05649843;-1175472.05667368;41725.594364985;39160.4810371832;-28980.3626663225
00.354.053/0001-00;Comércio (Atacado e Varejo);2012;177693.639876424;56081.2186017212;0;13556.2902810502;99751.5995370903;1249250.41953629;-1141194.28854264;45648.4079042693;43345.1289583561;177693.639876424
00.354.053/0001-00;Comércio (Atacado e Varejo);2013;39675.7189696127;572884.4218918;0;13158.9407468094;90270.7012313511;1069730.122796;-1616097.766465;41556.0451908956;39577.1063055632;39675.7189696127
00.354.053/0001-00;Comércio (Atacado e Varejo);2014;103533.093885662;-153015.880425851;0;18732.6568059616;164385.120983543;63106.6799790285;174709.637526523;103037.47933049;101154.144020836;103533.093885662
00.354.053/0001-00;Comércio (Atacado e Varejo);2015;63789.0530721227;242456.659125052;0;28044.9655591521;112508.274337754;14861.3615161985;-221573.93312828;60322.1635869834;58851.4485253304;63789.0530721227
00.354.053/0001-00;Comércio (Atacado e Varejo);2016;119903.059527795;63300.5592455012;0;28772.8591541247;76393.9324417595;20696.975285669;7132.66584249978;27471.7295805165;26107.3599966088;119903.059527795
00.354.053/0001-00;Comércio (Atacado e Varejo);2017;35210.5532693248;114143.382859713;0;14140.443134339;82372.820888256;18550.5878122978;-111623.860537025;34035.1248478944;32662.2662911624;35210.5532693248
00.354.053/0001-00;Comércio (Atacado e Varejo);2018;25954.2387549091;69585.8070101374;0;12487.2383223954;74252.6018229401;35429.0553513424;-91547.8619289661;26908.7817630938;25810.4898738879;25954.2387549091
00.354.053/0001-00;Comércio (Atacado e Varejo);2019;28693.5939585459;105272.753144648;0;11317.50448951;65600.3934734022;14938.3800573457;-102835.043732957;29657.7896911103;28654.8809554819;28693.5939585459
00.359.742/0001-08;Sem Setor Principal;2017;5314.92384106222;0;0;0;0;0;5314.92384106222;-2267.17784511731;-2267.17784511731;5314.92384106222
00.359.742/0001-08;Sem Setor Principal;2018;9595.86828571433;669.567156335652;0;0;10054.8559409049;0;8926.30112937868;7409.37214807587;7409.37214807587;9595.86828571433
00.359.742/0001-08;Sem Setor Principal;2019;2661.5189606544;105.250977080424;0;0;11437.2728427394;0;2556.26798357398;2971.22298516691;2971.22298516691;2661.5189606544
00.359.742/0001-08;Sem Setor Principal;2020;16418.46112092;886.1381937;0;404.26435242;35687.62301922;845.5959234;14282.4626514;12059.58788838;11980.82004894;16418.46112092
00.359.742/0001-08;Sem Setor Principal;2021;8023.8204;422.64;0;519.8472;29707.3656;667.7712;6413562;6687.2214;6518.1654;8023.8204
00.359.742/0001-08;Sem Setor Principal;2022;13090;970;0;1114;35894;982;10024;11252;11051;13090
00.389.481/0001-79;Serviços Transporte e Logística;2020;211606.32560382;46233.24669954;0;32591.35191888;644779.63344888;93129.06993084;39652.65705456;287101.82465532;188245.86945696;211606.32560382
00.389.481/0001-79;Serviços Transporte e Logística;2021;407863449;123857.8218;0;41501.1348;883662.0516;138255.0534;104249439;447852.5892;346348197;407863449
00.389.481/0001-79;Serviços Transporte e Logística;2022;940418;85791;0;59551;1338578;654179;140897;707527;563563;940418
00.416.968/0001-01;Bancos;2017;0;0;0;0;0;0;0;0;0;0
00.416.968/0001-01;Bancos;2018;279754.236793731;50362.5465612918;0;149952.780096866;853611.118426285;8831.72949712788;70607.180638446;283042.807685866;279754.236793731;279754.236793731
00.416.968/0001-01;Bancos;2021;0;0;0;0;0;0;0;0;0;0
00.416.968/0001-01;Bancos;2022;0;0;0;0;0;0;0;0;0;0
00.622.416/0001-41;Energia Elétrica;2010;204943.375036409;20310.2048881755;0;76978.1594363183;443944.331785548;91647.1925022524;16007.8182096632;242463.126638634;189557.277524057;204943.375036409
00.622.416/0001-41;Energia Elétrica;2011;205265.11385694;28068.6545061133;0;39532.2636680882;437494.743853839;133090.708846279;4573.48683645936;212457.893399574;155068.853921487;205265.11385694
00.622.416/0001-41;Energia Elétrica;2012;185754.232350226;39634.7816771037;0;34087.8213300003;375464.518638252;167934.312892243;-55902.6835491216;255084.165993865;163580.532352117;185754.232350226
00.622.416/0001-41;Energia Elétrica;2013;216613.580691794;15672.727979529;0;61412.2900876434;388567.324376761;193832.383895273;-54303.8212706511;288435.35674046;177539.566112992;216613.580691794
00.622.416/0001-41;Energia Elétrica;2014;228333.559016594;6111.00613424784;0;53708.8839852431;359024.757146141;199238.624558687;-30724.9556615839;259845.204448292;161320.177639178;228333.559016594
00.622.416/0001-41;Energia Elétrica;2015;226601.494033212;35604.1554003084;0;50356.9981352588;419046.701668559;231696.165237074;-91055.8247394293;277690.993941896;192916.407606556;226601.494033212
00.622.416/0001-41;Energia Elétrica;2016;138420.272756333;43013.9712607117;2765.06853543426;19437.5572082158;390972.617717601;94118.6272433535;-20914.9514913821;166357.556455224;89853.2903784744;138420.272756333
00.622.416/0001-41;Energia Elétrica;2017;116798.883553734;-12145.2220318885;3957.75509640722;38102.7086288401;406376.592667372;75899.46592218;10984.1759381952;148943.386046358;71046.0840530477;116798.883553734
00.622.416/0001-41;Energia Elétrica;2018;216398.808916277;32230.012271072;0;28558.1110295477;396628.381839461;61503.0848404358;94107.600775221;257855.229629737;176195.777568914;216398.808916277
00.622.416/0001-41;Energia Elétrica;2019;249856.141338161;78015.1696435092;0;39764.3030535225;566424.465206469;77350.9996846914;54725.6689564375;349655.843674626;208811.889620832;249856.141338161
00.622.416/0001-41;Energia Elétrica;2020;266776.24702806;68558.13742788;0;48119.04144378;594938.12469264;81172.57524408;68926.49291232;352286.84519424;229352.25648942;266776.24702806
00.622.416/0001-41;Energia Elétrica;2021;397749.6738;84935.8476;0;52797.2454;641927.8206;66004.7454;194011.8354;462043.7838;347785173;397749.6738
00.622.416/0001-41;Energia Elétrica;2022;521722;154985;0;56939;933803;71984;237814;523026;414162;521722
00.743.065/0001-27;Extração Mineral;2010;19005936.1679517;4271002.69443081;0;2190270.37209381;40657272.0533501;2661504.8657335;9883158.2356936;21090035.3164291;18716206.3776926;19005936.1679517
00.743.065/0001-27;Extração Mineral;2011;12629553.1210726;325690.925944903;0;0;0;368070.409359219;11935791.7857685;-12334.2157247977;-12334.2157247977;12629553.1210726
00.743.065/0001-27;Extração Mineral;2012;2648109.67780344;297865.407013813;0;0;0;326224.197596534;2024020.0731931;-6010.09087958936;-6010.09087958936;2648109.67780344
00.743.065/0001-27;Extração Mineral;2013;-315179.445510903;230713.520249788;0;0;0;258473.820880266;-804366.786640957;-6234.32604923142;-6234.32604923142;-315179.445510903
00.743.065/0001-27;Extração Mineral;2014;-102815.632815318;211289.138457297;0;0;0;156938.315619641;-471043.086892256;-6055.93785033984;-6055.93785033984;-102815.632815318
00.743.065/0001-27;Extração Mineral;2015;-11766091.7416862;80291.0472153497;0;0;0;41802.5768397606;-11888185.3657413;-5711.51480253594;-5711.51480253594;-11766091.7416862
00.743.065/0001-27;Extração Mineral;2016;3572767.25591483;25726.5744026779;0;0;0;604.143928180041;3546436.53758397;-3997.57597020691;-3997.57597020691;3572767.25591483
00.743.065/0001-27;Extração Mineral;2017;4630419.17964435;1020568.66874679;0;0;0;39865.197518816;3569985.31337875;-9756.44814317497;-9756.44814317497;4630419.17964435
00.743.065/0001-27;Extração Mineral;2018;6780941.12985913;280963.492731445;0;0;0;39982.3642054442;6459995.27292224;-18001.3949601653;-18001.3949601653;6780941.12985913
00.743.065/0001-27;Extração Mineral;2019;880582.90463404;491545.048811149;0;0;0;24037.1455587465;365000.710264144;-4154.38914131237;-4154.38914131237;880582.90463404
00.776.574/0001-56;Comércio (Atacado e Varejo);2010;1445812.47475941;179172.754183677;0;166799.916408768;9406254.76163817;1033125.00205654;66714.8021104305;1300752.91947544;1189981.35996455;1445812.47475941
00.776.574/0001-56;Comércio (Atacado e Varejo);2011;1297095.41984913;49766.561417322;0;246254.615977822;8775121.91659994;1167662.75317025;-166588.510716261;1023545.60669783;887833.736890953;1297095.41984913
00.776.574/0001-56;Comércio (Atacado e Varejo);2012;1156228.35411055;-79016.786002507;0;356073.137182636;9562929.58795179;1180855.58532656;-301683.58239614;958666.060855722;791923.160096668;1156228.35411055
00.776.574/0001-56;Comércio (Atacado e Varejo);2013;1580545.39397352;50713.6517388149;0;448966.74540654;11720710.1410701;1347557.09684626;-266692.100018087;1353965.24860839;1181807.59399098;1580545.39397352
00.776.574/0001-56;Comércio (Atacado e Varejo);2014;2101334.91184999;35704.7019064074;0;704823.685877121;14315485.0027832;1617759.85691982;-256953.332853352;1890632.6439612;1655072.55271634;2101334.91184999
00.776.574/0001-56;Comércio (Atacado e Varejo);2015;2367424.31352985;231016.494975573;0;815544.342896706;14946133.2467765;1918340.75551475;-597477.279857183;2159142.50322577;1816540.14355305;2367424.31352985
00.776.574/0001-56;Comércio (Atacado e Varejo);2016;1898833.78499481;-409131.919398487;0;653177.810208409;14090144.7466808;2308583.30364282;-653795.409457929;1644198.55629006;1251514.42169797;1898833.78499481
00.776.574/0001-56;Comércio (Atacado e Varejo);2017;2042929.89852336;123353.302548874;0;511725.835857961;11397524.0373621;1946207.43700641;-538356.676889881;1826498.0933124;1387931.23620051;2042929.89852336
00.776.574/0001-56;Comércio (Atacado e Varejo);2018;1622415.44087044;203930.484920331;0;507325.107866569;10104362.2989555;1412911.5344228;-501751.686339255;1606147.85916821;1057439.46598379;1622415.44087044
00.776.574/0001-56;Comércio (Atacado e Varejo);2019;1807777.47473856;268630.738042886;0;562545.906211988;10066510.7324336;1361599.22639311;-384998.395909425;1798087.12615909;1165729.57760913;1807777.47473856
00.776.574/0001-56;Comércio (Atacado e Varejo);2020;2006000.25897834;706552.15317912;0;628304.41314954;14544176.9063935;915275.34418932;-244131.65153964;2398349.81733246;1701297.29725992;2006000.25897834
00.776.574/0001-56;Comércio (Atacado e Varejo);2021;4393143.1026;817597.08;0;1438397127;28382246559;1562575.0986;574573797;5196604.9878;3822716.4606;4393143.1026
00.776.574/0001-56;Comércio (Atacado e Varejo);2022;-2766607;1537090;0;2252421;29676578;6355420;-12911538;403790;-3567156;-2766607
00.864.214/0001-06;Energia Elétrica;2010;3351726.07412202;1783535.92472588;309724.168978331;418455.769523928;6368598.94239134;472706.362766554;367303.848127322;3371241.74776762;3162621.67940622;3351726.07412202
00.864.214/0001-06;Energia Elétrica;2011;3585240.0288988;1759189.46973878;355997.749254153;494446.611796088;6917475.43857627;599244.475605055;376361.722504728;3566768.59738243;3321179.0799805;3585240.0288988
00.864.214/0001-06;Energia Elétrica;2012;3785278.97313055;1887122.57667257;346174.163969195;501969.860958456;7645371.20399546;561174.559143775;488837.812386553;3621017.88637;3375300.62377936;3785278.97313055
00.864.214/0001-06;Energia Elétrica;2013;3076258.82584819;1600904.73059703;16317.8887985647;452028.752195332;7333945.83764094;684453.787156758;322553.667100503;3074717.79404728;2788995.12126873;3076258.82584819
00.864.214/0001-06;Energia Elétrica;2014;8151193.22364639;4398028.49431247;341629.472949374;1031332.9814449;18439197.9210159;1922827.13611336;457375.13882629;8312470.92003799;7382041.91526703;8151193.22364639
00.864.214/0001-06;Energia Elétrica;2015;12932068.9310499;6764256.92730327;1909282.29303793;1087385.31780211;26665777.5222098;2692583.70699562;478560.685910984;12776907.0641668;11777491.9252321;12932068.9310499
00.864.214/0001-06;Energia Elétrica;2016;12364526.6954284;8756930.34022416;79677.0308487958;1166945.03600984;24732959.4706419;2107946.97054101;253027.317804581;12270301.7711464;11323526.1582281;12364526.6954284
00.864.214/0001-06;Energia Elétrica;2017;12147412.0681576;8240464.50570854;36519.3450934093;1290051.65104289;26570606.5358724;1868253.91318649;712122.653126292;12113712.966785;11057690.5526817;12147412.0681576
00.864.214/0001-06;Energia Elétrica;2018;14592667.6568685;9861779.75745674;72406.5635614045;1349789.38323823;31170480.8805829;1893585.09536599;1415106.85724611;15066563.584167;13869021.9193016;14592667.6568685
00.864.214/0001-06;Energia Elétrica;2019;15967966.8912106;10924109.0012797;27545.5114614273;1628466.10323389;35397580.3490918;2777644.66225179;610201.612983851;16198960.1218058;14798193.0145626;15967966.8912106
00.864.214/0001-06;Energia Elétrica;2020;15343912.5719807;10509252.6304586;1024364.1684114;1424054.19439098;34231330.769837;1651074.69116286;735166.88755686;15854198.4362869;14430930.7619398;15343912.5719807
00.864.214/0001-06;Energia Elétrica;2021;17989993863;10903511.8512;1568013.4188;1436555.4732;39351817.0422;2727011.6946;1354901.4252;17690795.3844;16377456.3768;17989993863
00.864.214/0001-06;Energia Elétrica;2022;18792306;10614828;1473814;1362843;36831219;4386615;954206;18345882;17071418;18792306
00.924.429/0001-75;Serviços Transporte e Logística;2010;476776.349056615;164179.949636396;0;321230.96769884;2359592.92519773;14535.9490828038;-23170.5173614247;660251.489918804;465712.501503838;476776.349056615
00.924.429/0001-75;Serviços Transporte e Logística;2011;265262.236514643;138971.973781399;0;440059.85718164;2303884.65259427;13541.1080844189;-327310.702532816;463732.509021827;237574.705911568;265262.236514643
00.924.429/0001-75;Serviços Transporte e Logística;2012;241814.23886649;74136.2386735229;0;436818.708149919;2365156.36686616;19257.0382477196;-288397.746204672;514898.627044725;221005.183032806;241814.23886649
00.924.429/0001-75;Serviços Transporte e Logística;2013;180890.725289589;-917993.64664227;0;511490.517216098;2537937.3070052;325904.826277101;261489.028438661;495821.13203874;128146.321231789;180890.725289589
00.924.429/0001-75;Serviços Transporte e Logística;2014;530790.601552896;-43165.6676861714;0;491836.870895917;2842231.47044594;22371.8836825103;59747.5146606405;883381.809759043;479957.855367191;530790.601552896
00.994.533/0001-36;Serviços Transporte e Logística;2010;21714.5388594166;2202.83787002315;0;1632.76170347973;59043.6029634247;186438.742396972;-168559.803111059;27451.0544307663;21714.5388594166;21714.5388594166
00.994.533/0001-36;Serviços Transporte e Logística;2011;131794.140274178;2271.79738281641;0;241.004821038912;140730.001196885;142581.441333703;-13300.10326338;137176.581277381;131794.140274178;131794.140274178
00.994.533/0001-36;Serviços Transporte e Logística;2012;14636.3389655882;1923.22908146859;0;251.009677912261;20190.370007844;139817.693618494;-127355.593412287;19707.7950636888;14636.3389655882;14636.3389655882
00.994.533/0001-36;Serviços Transporte e Logística;2013;14576.2888673853;2241.34885576926;0;249.03876175214;22224.6202350215;148806.510050703;-136720.608800839;19353.1531699868;14576.2888673853;14576.2888673853
00.994.533/0001-36;Serviços Transporte e Logística;2014;70529.884649827;5835.66471470784;0;357.15715563189;93318.7139104979;154295.037992057;-89957.9752125696;91139.5832472813;70529.884649827;70529.884649827
00.994.533/0001-36;Serviços Transporte e Logística;2015;1212.26901683825;3685.35492633632;0;348.402402954693;24.2739379107778;238808.429044932;-241629.917357385;-2545.9077232304;1212.26901683825;1212.26901683825
