ANO,CONTA,VALOR,VALOR_RELATIVO
2009,Receitas,1727510801.7,100
2009,VAB,791986395.11,45.8455249212119
2009,VALP,666152520.8,38.5614098704596
2009,VATD,733832783.22,42.4792008534971
2009,Distribuição,733832783.22,42.4792008534971
2009,Pessoal,141394627.91,19.2679628306563
2009,Governo,319589272.29,43.5506943268012
2009,RCT,100682640.58,13.7201066622034
2009,RCP,166756868.43,22.7240963122803
2009,Outros,5409374.01,0.737139868058782
2010,Distribuição,1763107681.2,42.1978419621202
2010,Governo,731563856.1,41.4928630792469
2010,Outros,13934085.71,0.790313935931368
2010,Pessoal,354153939.26,20.0869148853663
2010,RCP,414004034.36,23.4814945663569
2010,RCT,249451765.77,14.1484135330985
2010,Receitas,4178193953.1,100
2010,VAB,1882886099.3,45.0645929900645
2010,VALP,1633921879.41,39.1059366259844
2010,VATD,1763107681.2,42.1978419621202
2011,Distribuição,1777886641.52,40.6004153187939
2011,Governo,694027043.1,39.0366307329158
2011,Outros,17253699.55,0.970461172667847
2011,Pessoal,370380628.62,20.83263465568
2011,RCP,379653801.98,21.354218717534
2011,RCT,316571468.27,17.8060547212025
2011,Receitas,4378986341.79,100
2011,VAB,1814755373.95,41.4423620514921
2011,VALP,1600549665.03,36.5506886777761
2011,VATD,1777886641.52,40.6004153187939
2012,Distribuição,1553454567.54,36.3415760296506
2012,Governo,634659055.57,40.8546904963578
2012,Outros,6986847.31,0.449761934207329
2012,Pessoal,385847325.03,24.8380179950171
2012,RCP,225416855.05,14.5106821763679
2012,RCT,300544484.57,19.3468473974062
2012,Receitas,4274593282.01,100
2012,VAB,1624965070.42,38.0144954903384
2012,VALP,1419074529.48,33.1978842397077
2012,VATD,1553454567.54,36.3415760296506
2013,Distribuição,1471258013.09,36.3512278084591
2013,Governo,598083848.09,40.6511871316084
2013,Outros,15857849.02,1.07784283102694
2013,Pessoal,377629529.21,25.6671179256238
2013,RCP,149557050.77,10.1652497005535
2013,RCT,330129735.99,22.4386024105077
2013,Receitas,4047340631.36,100
2013,VAB,1579505809.92,39.0257691107469
